pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
5d7n_D_rec,43,43,0.6725005768754404,0.16801074497480398,3.7186312624396214,0.8774722570801428,24.91864442045933,4.288633805719688,0.0,0.02106149957877001,0.0,0.0,356.27990697674426,1.8752902325581402,5.069767441860465,2.604651162790698,5.325581395348837
5i0b_A_rec,43,43,0.702853290072483,0.1464188512068257,3.3932563623782532,0.8763100993484213,0.10994857207210723,0.7328627626816482,0.0,0.008678881388621022,0.0,0.0,299.23130232558145,1.5628767441860472,5.534883720930233,2.0930232558139537,2.5348837209302326
5l1v_A_rec,45,45,0.6663728063844007,0.16798133382971545,4.072699442277618,0.8892169671867627,0.05004730903829735,0.5024595025843749,0.0,0.026687598116169546,0.0,0.0,360.20702222222235,3.4644986666666684,4.0,1.9555555555555555,2.6222222222222222
5liu_X_rec,47,47,0.6592504532295386,0.17028704042111584,2.8645284635485244,0.891829571757873,0.09789026627979629,0.6738420682841304,0.0,0.011811023622047244,0.0,0.0,276.2754680851064,2.550102765957448,3.5531914893617023,1.7446808510638299,3.9361702127659575
5mgl_A_rec,38,38,0.6995321688279126,0.09422055380417799,2.8205809019028214,0.8750657652933796,0.053056073414070204,0.5015311477501604,0.0,0.004754358161648178,0.0,0.0,211.0259210526316,1.116206842105263,3.210526315789474,1.2105263157894737,1.4210526315789473
5mma_A_rec,47,47,0.7120068736419437,0.14703213235699314,3.084792458916476,0.8733627365354595,0.10320922858814979,0.6941853745491976,0.0,0.02708803611738149,0.0,0.0,254.56757446808507,2.0077834042553193,3.021276595744681,2.0638297872340425,3.9148936170212765
5ngz_A_rec,48,48,0.6477837347368898,0.14392899564520448,2.4637487134369365,0.8502813229161169,0.05197204549377065,0.5119238279193246,0.0,0.016928657799274487,0.0,0.0,227.49902083333336,1.9182208333333344,2.7291666666666665,1.5625,2.3125
5q0k_A_rec,41,41,0.42891078072407424,0.12052873171891382,2.9261087288400356,0.8629119656231774,0.06817074482781993,0.5913048845405156,0.0,0.013109978150036417,0.0,0.0,403.39375609756115,5.631687317073175,3.658536585365854,0.8292682926829268,3.8780487804878048
5tjn_A_rec,45,45,0.6445476154846326,0.14979831785777295,3.121620525165153,0.8741329192923537,0.05832919217780383,0.5305607043537311,0.0,0.036193029490616625,0.0,0.0,232.76266666666666,1.0501686666666668,3.6222222222222222,2.422222222222222,3.533333333333333
5w2g_A_rec,44,44,0.43912395526863457,0.1457756772343628,4.411722048765257,0.6632354805974919,37.529725311419476,6.563236507343573,0.0,0.04942630185348632,0.0,0.0,355.28347727272734,-1.0567245454545455,8.75,4.340909090909091,4.25
